Rank,Feature_Code,Feature_Name,PFI_Mean,PFI_Std
1,C2H6,Ethane (C2H6),0.460023568247772,0.0253757100458828
2,C2H4,Ethylene (C2H4),0.350105237546069,0.0253574358298787
3,CH4,Methane (CH4),0.254638773959986,0.0228779888913819
4,%C2H2,Duval %C2H2,0.226182910933659,0.0214209952457625
5,H2,Hydrogen (H2),0.185991471858525,0.0239694258961269
6,%C2H4,Duval %C2H4,0.134214832271032,0.0254827571355803
7,CO,Carbon Monoxide (CO),0.0745372010675154,0.0182653971889001
8,C2H2,Acetylene (C2H2),0.0730432553583796,0.015403866209513
9,%CH4,Duval %CH4,0.0629591664094944,0.0191245869457118
10,CO2,Carbon Dioxide (CO2),0.0227082252018091,0.0128493556606912
